Player,2008,2009,2010,2011,2012,2013,2014,2015,2018,2019,2020,2021,2022,2023,2024,2025,2016,2017
Manoj Tiwary,DD,DD,KKR,KKR,KKR,KKR,DD,DD,KXIP,na,na,na,na,na,na,na,na,Rising Pune Supergiant
Tillakaratne Dilshan,DD,DD,DD,RCB,RCB,RCB,na,na,na,na,na,na,na,na,na,na,na,na
Rajat Bhatia,DD,DD,DD,KKR,KKR,KKR,RR,RR,na,na,na,na,na,na,na,na,Rising Pune Supergiants,Rising Pune Supergiant
Daniel Vettori,DD,DD,na,RCB,RCB,RCB,na,na,na,na,na,na,na,na,na,na,na,na
Pradeep Sangwan,DD,DD,DD,KKR,KKR,KKR,na,na,MI,na,na,na,Gujarat Titans,Gujarat Titans,na,na,Gujarat Lions,Gujarat Lions
Yogesh Nagar,DD,DD,DD,DD,DD,DD,na,na,na,na,na,na,na,na,na,na,na,na
Owais Shah,na,DD,KKR,Kochi Tuskers Kerala,RR,RR,na,na,na,na,na,na,na,na,na,na,na,na
Andrew McDonald,na,DD,DD,DD,RCB,RCB,na,na,na,na,na,na,na,na,na,na,na,na
Moises Henriques,na,na,DD,MI,na,RCB,SRH,SRH,na,KXIP,na,PBKS,na,na,na,na,SRH,SRH
Sarabjit Ladda,na,na,DD,KKR,KKR,KKR,na,na,na,na,na,na,na,na,na,na,Gujarat Lions,na
Aaron Finch,na,na,na,DD,na,Pune Warriors India,SRH,MI,KXIP,na,RCB,na,KKR,na,na,na,Gujarat Lions,Gujarat Lions
Naman Ojha,na,RR,RR,DD,DD,DD,SRH,SRH,DD,na,na,na,na,na,na,na,SRH,SRH
Matthew Wade,na,na,na,DD,DD,na,na,na,na,na,na,na,Gujarat Titans,Gujarat Titans,Gujarat Titans,na,na,na
Unmukt Chand,na,na,na,DD,DD,DD,RR,na,na,na,na,na,na,na,na,na,MI,na
James Hopes,KXIP,KXIP,KXIP,DD,Pune Warriors India,na,na,na,na,na,na,na,na,na,na,na,na,na
Roelof van der Merwe,na,RCB,RCB,DD,DD,DD,na,na,na,na,na,na,na,na,na,na,na,na
Ajit Agarkar,KKR,MI,KKR,DD,DD,DD,na,na,na,na,na,na,na,na,na,na,na,na
Ashok Dinda,KKR,KKR,KKR,DD,Pune Warriors India,Pune Warriors India,RCB,RCB,na,na,na,na,na,na,na,na,Rising Pune Supergiants,na
Morne Morkel,RR,RR,RR,DD,DD,DD,KKR,KKR,na,na,na,na,na,na,na,na,KKR,na
Varun Aaron,na,na,KKR,DD,DD,na,RCB,RCB,na,RR,RR,na,Gujarat Titans,na,na,na,RCB,KXIP
Shahbaz Nadeem,na,na,na,DD,DD,DD,DD,DD,DD,SRH,SRH,SRH,Lucknow Super Giants,na,na,na,DD,DD
Mahela Jayawardene,KXIP,KXIP,KXIP,Kochi Tuskers Kerala,DD,DD,na,na,na,na,na,na,na,na,na,na,na,na
Ross Taylor,RCB,RCB,RCB,RR,DD,Pune Warriors India,DD,na,na,na,na,na,na,na,na,na,na,na
Andre Russell,na,na,na,na,DD,DD,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR
Glenn Maxwell,na,na,na,na,DD,MI,KXIP,KXIP,DD,na,KXIP,RCB,RCB,RCB,RCB,na,KXIP,KXIP
Johan Botha,na,RR,RR,RR,RR,DD,na,KKR,na,na,na,na,na,na,na,na,na,na
Siddarth Kaul,na,na,na,na,na,DD,DD,SRH,SRH,SRH,SRH,SRH,RCB,na,na,na,SRH,SRH
Mayank Agarwal,na,na,na,RCB,RCB,RCB,DD,DD,KXIP,KXIP,KXIP,PBKS,PBKS,SRH,SRH,SRH,DD,Rising Pune Supergiant
Saurabh Tiwary,MI,MI,MI,RCB,RCB,RCB,DD,DD,MI,na,MI,MI,na,na,na,na,Rising Pune Supergiants,MI
Laxmi Ratan Shukla,KKR,KKR,KKR,KKR,KKR,KKR,DD,SRH,na,na,na,na,na,na,na,na,na,na
James Neesham,na,na,na,na,na,na,DD,KKR,na,na,KXIP,MI,RR,na,na,na,na,na
Quinton de Kock,na,na,na,na,na,SRH,DD,DD,RCB,MI,MI,MI,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,KKR,DD,na
Nathan Coulter-Nile,na,na,na,na,na,MI,DD,DD,RCB,RCB,MI,MI,RR,na,na,na,DD,KKR
Mohammed Shami,na,na,na,KKR,KKR,KKR,DD,na,DD,KXIP,KXIP,PBKS,Gujarat Titans,Gujarat Titans,na,SRH,na,DD
Jaydev Unadkat,na,na,KKR,KKR,na,RCB,DD,DD,RR,RR,RR,RR,MI,Lucknow Super Giants,SRH,SRH,KKR,Rising Pune Supergiant
Wayne Parnell,na,na,na,Pune Warriors India,Pune Warriors India,Pune Warriors India,DD,na,na,na,na,na,na,RCB,na,na,na,na
Yuvraj Singh,KXIP,KXIP,KXIP,Pune Warriors India,na,Pune Warriors India,RCB,DD,KXIP,MI,na,na,na,na,na,na,SRH,SRH
Angelo Mathews,na,KKR,KKR,Pune Warriors India,Pune Warriors India,Pune Warriors India,na,DD,na,na,na,na,na,na,na,na,na,DD
Travis Head,na,na,na,na,na,na,na,DD,na,na,na,na,na,na,SRH,SRH,RCB,RCB
Zaheer Khan,RCB,MI,MI,RCB,RCB,RCB,MI,DD,na,na,na,na,na,na,na,na,DD,DD
Sanju Samson,na,na,na,na,KKR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,DD,DD
Chama Milind,na,na,na,na,na,na,SRH,SRH,na,na,na,na,RCB,na,na,na,DD,DD
Pawan Suyal,na,na,na,MI,MI,MI,MI,na,na,na,na,na,na,na,na,na,DD,na
Mahipal Lomror,na,na,na,na,na,na,na,na,RR,RR,RR,RR,RCB,RCB,RCB,GT,DD,na
Aditya Tare,na,na,MI,MI,na,MI,MI,MI,MI,MI,MI,MI,na,na,na,na,SRH,DD
Corey Anderson,na,na,na,na,na,na,MI,MI,RCB,na,na,na,na,na,na,na,MI,DD
Shashank Singh,na,na,na,na,na,na,na,na,na,RR,RR,na,SRH,na,PBKS,na,na,DD
Pat Cummins,na,na,na,na,na,na,KKR,KKR,MI,na,KKR,na,KKR,na,SRH,SRH,na,DD
Navdeep Saini,na,na,na,na,na,na,na,na,RCB,RCB,RCB,na,RR,RR,RR,na,na,DD
Murugan Ashwin,na,na,na,na,na,na,na,na,RCB,KXIP,KXIP,PBKS,MI,RR,na,na,Rising Pune Supergiants,DD
Jason Roy,na,na,na,na,na,na,na,na,DD,na,na,SRH,Gujarat Titans,KKR,na,na,na,Gujarat Lions
Gurkeerat Singh Mann,na,na,na,na,na,KXIP,na,KXIP,DD,RCB,RCB,KKR,na,na,na,na,KXIP,KXIP
Abhishek Sharma,na,na,na,na,na,na,na,na,DD,SRH,SRH,SRH,SRH,SRH,SRH,SRH,na,na
James Faulkner,na,na,na,Pune Warriors India,KXIP,RR,RR,RR,na,na,na,na,na,na,na,na,Gujarat Lions,Gujarat Lions
Praveen Kumar,RCB,RCB,RCB,KXIP,KXIP,KXIP,na,SRH,na,na,na,na,na,na,na,na,Gujarat Lions,Gujarat Lions
Dhawal Kulkarni,MI,MI,MI,MI,MI,MI,RR,RR,RR,RR,MI,MI,na,na,na,na,Gujarat Lions,Gujarat Lions
Ishan Kishan,na,na,na,na,na,na,na,na,MI,MI,MI,MI,MI,MI,MI,SRH,Gujarat Lions,Gujarat Lions
Paras Dogra,na,RR,RR,KXIP,KXIP,KKR,na,na,na,na,na,na,na,na,na,na,Gujarat Lions,na
Pravin Tambe,na,na,na,na,na,RR,RR,RR,na,na,na,na,na,na,na,na,Gujarat Lions,SRH
